company_name,activity,address,phone,siteUrl
,Продуктовий магазин,"вулиця Богдана Хмельницького, 55а, Калуш, Івано-Франківська область, 77311",,
,Продуктовий магазин,"проспект Лесі Українки, 66, Калуш, Івано-Франківська область, 77312",,
,Продуктовий магазин,"вулиця Євгена Коновальця, 3, Калуш, Івано-Франківська область, 77311",,
,Продуктовий магазин,"ул. Богдана Хмельницкого, 32Б, Калуш, Івано-Франківська область, 77300",0502236240,
,Крамничка,"вулиця Сівецька, 3, Калуш, Івано-Франківська область, 77300",,
,Продуктовий магазин,"вулиця Володимира Винниченка, 10, Калуш, Івано-Франківська область, 77300",,
,Продуктовий магазин,"вулиця Хіміків, 22, Калуш, Івано-Франківська область, 77300",,
,Продуктовий магазин,"проспект Лесі Українки, 88, Калуш, Івано-Франківська область, 77312",,
,Продуктовий магазин,"вулиця Дмитра Вітовського, Калуш, Івано-Франківська область, 77300",,
,Продуктовий магазин,"м, вулиця Михайла Грушевського, Калуш, Івано-Франківська область, 77300",,
,Продуктовий магазин,"вулиця Євгена Коновальця, 7, Калуш, Івано-Франківська область, 77300",,
